lr,max-grad-norm,recurrent-policy,seed
0.0001027452324085533,0.5,True,285

seconds,frames,mean reward
74,14080,0.020261224
125,26880,0.02881616
176,39680,0.03836
228,52480,0.056303997
279,65280,0.044751998
331,78080,0.018032
382,90880,0.016856
434,103680,0.016856
485,116480,0.036888
536,129280,0.083207995
588,142080,0.046136
640,154880,0.019008
691,167680,0.009776
742,180480,0.0
794,193280,0.0097280005
845,206080,0.009752
897,218880,0.009752
949,231680,0.0098
1000,244480,0.0098
1052,257280,0.009968
1104,270080,0.009968
1156,282880,0.0
1208,295680,0.009832
1260,308480,0.0
1311,321280,0.029176002
1363,334080,0.048976
1414,346880,0.037504002
1465,359680,0.0448
1517,372480,0.062008
1568,385280,0.07992
1620,398080,0.03656
1671,410880,0.0099599995
1723,423680,0.063736
1774,436480,0.10768001
1826,449280,0.09652001
1877,462080,0.14323999
1928,474880,0.136328
1980,487680,0.092304
2031,500480,0.144824
2083,513280,0.19697599
2134,526080,0.17517601
2185,538880,0.183736
2236,551680,0.183136
2287,564480,0.17900002
2338,577280,0.153968
2390,590080,0.15289599
2441,602880,0.151584
2489,615680,0.159648
2540,628480,0.171056
2591,641280,0.23679201
2642,654080,0.17364801
2694,666880,0.24147199
2742,679680,0.278592
2793,692480,0.22773598
2845,705280,0.18298401
2896,718080,0.163424
2947,730880,0.22106402
3000,743680,0.267424
3054,756480,0.189816
3109,769280,0.14790401
3164,782080,0.167376
3215,794880,0.163432
3268,807680,0.19152799
3318,820480,0.158176
3369,833280,0.157248
3420,846080,0.16454399
3471,858880,0.16218399
3521,871680,0.127928
3572,884480,0.131192
3622,897280,0.13617599
3674,910080,0.171632
3724,922880,0.194664
3775,935680,0.126096
3827,948480,0.13836001
3878,961280,0.21652001
3929,974080,0.22496802
3979,986880,0.16265598
4030,999680,0.17080802
4080,1012480,0.128344
4131,1025280,0.048536
4181,1038080,0.084456004
4232,1050880,0.1284
4283,1063680,0.19200802
4333,1076480,0.23076801
4384,1089280,0.166768
4434,1102080,0.12174401
4485,1114880,0.081672
4536,1127680,0.0924
4587,1140480,0.141184
4637,1153280,0.158712
4688,1166080,0.165976
4739,1178880,0.18652003
4790,1191680,0.148184
4841,1204480,0.16668798
4892,1217280,0.17475201
4943,1230080,0.119183995
4993,1242880,0.09215201
5044,1255680,0.136144
5095,1268480,0.27604
5160,1281280,0.24652
5209,1294080,0.25663197
5260,1306880,0.255368
5310,1319680,0.23748001
5361,1332480,0.20542401
5412,1345280,0.158768
5463,1358080,0.176264
5514,1370880,0.212968
5565,1383680,0.22122401
5616,1396480,0.17226401
5668,1409280,0.20885602
5713,1422080,0.226304
5764,1434880,0.182504
5813,1447680,0.206792
5862,1460480,0.14007999
5913,1473280,0.128432
5963,1486080,0.13871999
6014,1498880,0.13024801
6065,1511680,0.1432
6116,1524480,0.148008
6165,1537280,0.11817599
6215,1550080,0.137136
6265,1562880,0.16608799
6314,1575680,0.076064
6365,1588480,0.063824
6415,1601280,0.116184
6466,1614080,0.099152
6518,1626880,0.047855996
6568,1639680,0.082320005
6619,1652480,0.063439995
6670,1665280,0.072224
6719,1678080,0.072064
6769,1690880,0.054672003
6819,1703680,0.101679996
6870,1716480,0.082320005
6921,1729280,0.046976004
6969,1742080,0.03796
7020,1754880,0.009384
7071,1767680,0.036199998
7122,1780480,0.065416
7173,1793280,0.047272
7224,1806080,0.037016
7275,1818880,0.047144003
7326,1831680,0.08388801
7375,1844480,0.110008
7426,1857280,0.090784
7478,1870080,0.072327994
7528,1882880,0.035856
7579,1895680,0.026872002
7630,1908480,0.064527996
7681,1921280,0.100448
7732,1934080,0.09112801
7785,1946880,0.055735998
7835,1959680,0.019624
7886,1972480,0.028656
7937,1985280,0.091231994
7987,1998080,0.188672
8038,2010880,0.192824
8088,2023680,0.13945599
8139,2036480,0.092584
8190,2049280,0.125976
8241,2062080,0.145
8292,2074880,0.151384
8343,2087680,0.170456
8394,2100480,0.12168
8444,2113280,0.094024
8495,2126080,0.10061601
8546,2138880,0.090335995
8598,2151680,0.091336004
8649,2164480,0.11080801
8700,2177280,0.163976
8751,2190080,0.128856
8803,2202880,0.103016
8854,2215680,0.10073601
8903,2228480,0.062776
8952,2241280,0.099488
9003,2254080,0.221896
9054,2266880,0.203456
9103,2279680,0.13768798
9153,2292480,0.170376
9203,2305280,0.144448
9253,2318080,0.081448
9304,2330880,0.082656
9354,2343680,0.048768
9403,2356480,0.064736
9454,2369280,0.06392799
9504,2382080,0.065696
9554,2394880,0.15047202
9605,2407680,0.140064
9656,2420480,0.12970398
9708,2433280,0.130384
9759,2446080,0.072432
9809,2458880,0.10108801
9860,2471680,0.123344004
9911,2484480,0.120391995
9962,2497280,0.103016
10012,2510080,0.10392799
10064,2522880,0.10117599
10114,2535680,0.14949599
10165,2548480,0.15651199
10215,2561280,0.098632
10266,2574080,0.091712005
10315,2586880,0.076224
10365,2599680,0.110344
10417,2612480,0.10696799
10468,2625280,0.063456
