lr,max-grad-norm,recurrent-policy,seed
0.00017580426010833488,0.5,False,251

seconds,frames,mean reward
34,14080,0.0
44,26880,0.056416
55,39680,0.22600003
65,52480,0.241616
75,65280,0.19510399
86,78080,0.310176
96,90880,0.39666396
107,103680,0.42875203
117,116480,0.41453603
128,129280,0.43206397
138,142080,0.436992
149,154880,0.47186399
159,167680,0.46452796
170,180480,0.36415198
180,193280,0.297664
191,206080,0.42577597
201,218880,0.37312797
212,231680,0.340168
222,244480,0.40808
233,257280,0.40680802
243,270080,0.40468
254,282880,0.336096
265,295680,0.333872
275,308480,0.38011196
286,321280,0.51015204
296,334080,0.510536
307,346880,0.594408
318,359680,0.623152
328,372480,0.494032
339,385280,0.75176793
350,398080,0.730632
361,410880,0.81019205
372,423680,0.874912
382,436480,0.8563999
393,449280,0.8778
404,462080,0.88664
415,474880,0.9171519
426,487680,0.88372004
437,500480,0.91685605
448,513280,0.91376
459,526080,0.9363439
471,538880,0.94228005
482,551680,0.9245041
493,564480,0.91956794
504,577280,0.917096
515,590080,0.9171921
526,602880,0.928248
537,615680,0.94348794
548,628480,0.9276319
559,641280,0.92800814
570,654080,0.93180794
582,666880,0.94403195
593,679680,0.919392
604,692480,0.89128
615,705280,0.9476961
626,718080,0.93055993
637,730880,0.9314959
648,743680,0.9404561
659,756480,0.94045603
670,769280,0.932208
682,782080,0.934296
693,794880,0.93959993
704,807680,0.919264
715,820480,0.89529604
726,833280,0.928008
737,846080,0.94440806
748,858880,0.937376
759,871680,0.9323201
771,884480,0.9375439
782,897280,0.94168806
793,910080,0.9239921
804,922880,0.929352
815,935680,0.94496804
826,948480,0.9325919
837,961280,0.928888
848,974080,0.9401679
859,986880,0.91852
870,999680,0.945224
882,1012480,0.93720794
893,1025280,0.9292241
904,1038080,0.93428797
915,1050880,0.91614395
926,1063680,0.93234396
937,1076480,0.94405603
948,1089280,0.93397605
959,1102080,0.93452805
970,1114880,0.932848
981,1127680,0.93583196
993,1140480,0.92823195
1004,1153280,0.94278395
1015,1166080,0.932896
1026,1178880,0.94016
1037,1191680,0.94288796
1048,1204480,0.93199205
1059,1217280,0.94479203
1071,1230080,0.934472
1082,1242880,0.949824
1093,1255680,0.921984
1104,1268480,0.9226482
1115,1281280,0.9135121
1127,1294080,0.9254001
1138,1306880,0.921496
1149,1319680,0.927208
1160,1332480,0.937624
1171,1345280,0.94412786
1182,1358080,0.92844796
1193,1370880,0.9485441
1204,1383680,0.9252161
1215,1396480,0.92684805
1226,1409280,0.930424
1237,1422080,0.93323183
1248,1434880,0.92647195
1259,1447680,0.931288
1270,1460480,0.944264
1281,1473280,0.9246161
1293,1486080,0.9473841
1304,1498880,0.87848806
1315,1511680,0.92182404
1326,1524480,0.85496795
1337,1537280,0.8735839
1348,1550080,0.89026403
1359,1562880,0.8989441
1370,1575680,0.92187995
1381,1588480,0.9212639
1392,1601280,0.94332004
1403,1614080,0.91636
1414,1626880,0.9162161
1425,1639680,0.92756796
1436,1652480,0.934896
1447,1665280,0.93456805
1458,1678080,0.9181601
1469,1690880,0.936752
1481,1703680,0.947352
1492,1716480,0.94155204
1503,1729280,0.94249594
1514,1742080,0.91118395
1525,1754880,0.93048805
1536,1767680,0.92346406
1547,1780480,0.9400081
1558,1793280,0.9393919
1569,1806080,0.915008
1580,1818880,0.887152
1591,1831680,0.90227205
1602,1844480,0.9216399
1613,1857280,0.9138879
1624,1870080,0.927632
1635,1882880,0.924848
1646,1895680,0.8880561
1657,1908480,0.93026406
1668,1921280,0.9397921
1679,1934080,0.907608
1690,1946880,0.92102396
1701,1959680,0.92032003
1712,1972480,0.92126393
1723,1985280,0.90172
1734,1998080,0.892792
1745,2010880,0.9071601
1756,2023680,0.91277593
1767,2036480,0.90548015
1778,2049280,0.89546394
1789,2062080,0.8706081
1800,2074880,0.896056
1811,2087680,0.8977361
1822,2100480,0.92447996
1833,2113280,0.90376
1844,2126080,0.9015759
1855,2138880,0.94357604
1866,2151680,0.90608793
1877,2164480,0.92492
1888,2177280,0.8999919
1899,2190080,0.890216
1910,2202880,0.927136
1921,2215680,0.919808
1932,2228480,0.8847601
1943,2241280,0.909568
1954,2254080,0.89469606
1965,2266880,0.926976
1976,2279680,0.9398401
1988,2292480,0.91424805
1999,2305280,0.914984
2010,2318080,0.92143214
2021,2330880,0.93622404
2032,2343680,0.92852
2043,2356480,0.940296
2054,2369280,0.93995994
2065,2382080,0.93755203
2076,2394880,0.93333596
2087,2407680,0.93316793
2098,2420480,0.921184
2109,2433280,0.92408013
2120,2446080,0.90896815
2131,2458880,0.91132796
2142,2471680,0.93187994
2153,2484480,0.86885613
2164,2497280,0.9396081
2175,2510080,0.934376
2186,2522880,0.841192
2197,2535680,0.84648806
2208,2548480,0.90392005
2219,2561280,0.884864
2230,2574080,0.92904
2241,2586880,0.889664
2252,2599680,0.875736
2263,2612480,0.909744
2274,2625280,0.91129607
2285,2638080,0.9164159
2296,2650880,0.92947996
2307,2663680,0.90454406
2318,2676480,0.92986405
2329,2689280,0.91289604
2340,2702080,0.92010397
2351,2714880,0.879248
2362,2727680,0.94085604
2373,2740480,0.93272
2384,2753280,0.92272794
2395,2766080,0.949168
2406,2778880,0.79596
2417,2791680,0.7883119
2428,2804480,0.901792
2439,2817280,0.9072401
2450,2830080,0.9262
2461,2842880,0.91188794
2471,2855680,0.9186001
2482,2868480,0.904064
2494,2881280,0.90624
2505,2894080,0.90678406
2516,2906880,0.90468806
2526,2919680,0.9025121
2537,2932480,0.90271205
2548,2945280,0.88342404
2559,2958080,0.9060641
2570,2970880,0.889328
2581,2983680,0.86649615
2592,2996480,0.91667205
2603,3009280,0.9314
2614,3022080,0.909272
2625,3034880,0.9040401
2636,3047680,0.9160881
2646,3060480,0.92415214
2658,3073280,0.9191039
2669,3086080,0.92048
2680,3098880,0.936872
2691,3111680,0.93533593
2702,3124480,0.901144
2713,3137280,0.9211279
2724,3150080,0.93021613
2735,3162880,0.92925596
2746,3175680,0.933976
2757,3188480,0.9195439
2768,3201280,0.9192801
2779,3214080,0.8950801
2790,3226880,0.85396004
2801,3239680,0.89688796
2812,3252480,0.9308
2823,3265280,0.94008005
2834,3278080,0.910392
2845,3290880,0.9381839
2856,3303680,0.91208
2867,3316480,0.9404561
2879,3329280,0.92609614
2890,3342080,0.9349201
2901,3354880,0.9316799
2912,3367680,0.93546396
2923,3380480,0.8827441
2934,3393280,0.94152796
2945,3406080,0.92172
2956,3418880,0.9166799
2967,3431680,0.92456
2978,3444480,0.9340641
2989,3457280,0.931224
3001,3470080,0.92882407
3012,3482880,0.92651206
3023,3495680,0.942888
3034,3508480,0.915808
3045,3521280,0.9401681
3056,3534080,0.93139195
3067,3546880,0.9374561
3078,3559680,0.9350479
3089,3572480,0.90232795
3100,3585280,0.8815679
3111,3598080,0.9224
3122,3610880,0.93668795
3133,3623680,0.936664
3161,3636480,0.9220559
3172,3649280,0.93087196
3183,3662080,0.9312241
3196,3674880,0.92256796
3207,3687680,0.935072
3218,3700480,0.90768796
3229,3713280,0.8946
3240,3726080,0.9119679
3251,3738880,0.9208801
3262,3751680,0.89163995
3274,3764480,0.929832
3285,3777280,0.930264
3296,3790080,0.9114879
3307,3802880,0.892472
3318,3815680,0.91888803
3329,3828480,0.920024
3340,3841280,0.86604
3351,3854080,0.87274414
3362,3866880,0.92817605
3373,3879680,0.92764
3384,3892480,0.88362396
3395,3905280,0.9257921
3406,3918080,0.91456795
3417,3930880,0.9360081
3428,3943680,0.8184159
3438,3956480,0.85609597
3450,3969280,0.87525606
3461,3982080,0.89429605
3472,3994880,0.884224
3483,4007680,0.89448
3494,4020480,0.9277279
3505,4033280,0.90259206
3516,4046080,0.91203195
3527,4058880,0.81152
3537,4071680,0.8298
3548,4084480,0.859976
3559,4097280,0.8868319
3570,4110080,0.89933604
3581,4122880,0.92847997
3592,4135680,0.927176
3603,4148480,0.92699206
3614,4161280,0.88437605
3625,4174080,0.92676795
3636,4186880,0.918568
3647,4199680,0.9256561
3658,4212480,0.93626404
3670,4225280,0.92929596
3681,4238080,0.91004014
3692,4250880,0.93874395
3703,4263680,0.90591204
3714,4276480,0.91495204
3725,4289280,0.84261596
3736,4302080,0.93333596
3747,4314880,0.926608
3758,4327680,0.938592
3769,4340480,0.92242396
3780,4353280,0.93651205
3791,4366080,0.93464005
3802,4378880,0.919048
3813,4391680,0.87430406
3824,4404480,0.921088
3835,4417280,0.93376
3846,4430080,0.921632
3857,4442880,0.9189041
3868,4455680,0.9212161
3879,4468480,0.92811996
3890,4481280,0.940104
3901,4494080,0.90859205
3912,4506880,0.87076795
3923,4519680,0.9340799
3934,4532480,0.92351186
3945,4545280,0.910928
3956,4558080,0.93598396
3967,4570880,0.91147995
3978,4583680,0.91637605
3989,4596480,0.89941597
4000,4609280,0.926512
4011,4622080,0.930184
4023,4634880,0.9298961
4034,4647680,0.92281604
4045,4660480,0.93855196
4056,4673280,0.89516807
4067,4686080,0.880728
4078,4698880,0.93244
4089,4711680,0.9307281
4100,4724480,0.9277041
4111,4737280,0.9003521
4122,4750080,0.93223196
4133,4762880,0.92770404
4144,4775680,0.9388161
4154,4788480,0.9254401
4165,4801280,0.91407204
4176,4814080,0.92604005
4187,4826880,0.92552805
4197,4839680,0.9337839
4208,4852480,0.93051183
4219,4865280,0.9171281
4230,4878080,0.931
4241,4890880,0.9013919
4251,4903680,0.90270394
4262,4916480,0.88612
4273,4929280,0.93388796
4284,4942080,0.88034403
4295,4954880,0.917696
4305,4967680,0.906472
4316,4980480,0.9355839
4327,4993280,0.8858641
