lr,max-grad-norm,recurrent-policy,seed
6.491561656230649e-06,0.5,False,290

seconds,frames,mean reward
34,14080,0.037839998
44,26880,0.028630305
54,39680,0.035024
65,52480,0.034647997
75,65280,0.027751999
86,78080,0.01932
96,90880,0.028232
107,103680,0.027368
117,116480,0.027384
128,129280,0.02724
139,142080,0.0088639995
149,154880,0.0
160,167680,0.017896
170,180480,0.044248
181,193280,0.036224
191,206080,0.024824
202,218880,0.02616
212,231680,0.027007999
222,244480,0.03752
233,257280,0.066912
244,270080,0.028528
255,282880,0.036984
265,295680,0.046392
276,308480,0.038392
287,321280,0.094336
297,334080,0.065632
308,346880,0.026616002
318,359680,0.044576
329,372480,0.072151996
340,385280,0.080512
350,398080,0.054712
361,410880,0.052095998
371,423680,0.106240004
382,436480,0.126304
392,449280,0.11676801
403,462080,0.14339201
413,474880,0.116808005
424,487680,0.056176
435,500480,0.072504
445,513280,0.13236
456,526080,0.16273601
466,538880,0.17627199
477,551680,0.24104801
488,564480,0.341152
498,577280,0.282864
509,590080,0.284208
520,602880,0.35836795
530,615680,0.32768804
541,628480,0.367584
552,641280,0.367504
562,654080,0.37420002
573,666880,0.36883202
584,679680,0.38844803
594,692480,0.425528
605,705280,0.38592
615,718080,0.40164798
626,730880,0.44571197
636,743680,0.473784
647,756480,0.448152
658,769280,0.39240003
668,782080,0.35731196
679,794880,0.465624
690,807680,0.40465602
701,820480,0.337888
711,833280,0.31715995
722,846080,0.375112
733,858880,0.44800797
744,871680,0.47724
755,884480,0.449008
766,897280,0.36240003
776,910080,0.428968
787,922880,0.408424
797,935680,0.48998398
808,948480,0.45588797
819,961280,0.44967198
829,974080,0.41779998
840,986880,0.50030404
851,999680,0.404472
861,1012480,0.36790398
872,1025280,0.486896
883,1038080,0.40964797
893,1050880,0.50402397
904,1063680,0.49166402
915,1076480,0.379664
925,1089280,0.46486405
936,1102080,0.43067205
947,1114880,0.5096
957,1127680,0.458728
968,1140480,0.464664
979,1153280,0.48915198
990,1166080,0.401624
1001,1178880,0.399624
1011,1191680,0.41772798
1022,1204480,0.463656
1033,1217280,0.351664
1044,1230080,0.393232
1055,1242880,0.39448002
1065,1255680,0.39264
1076,1268480,0.412008
1087,1281280,0.494872
1097,1294080,0.42743203
1108,1306880,0.37021598
1119,1319680,0.471952
1129,1332480,0.458728
1140,1345280,0.40368
1151,1358080,0.44
1162,1370880,0.499664
1172,1383680,0.44906402
1183,1396480,0.525744
1194,1409280,0.47236001
1205,1422080,0.44275203
1215,1434880,0.552512
1226,1447680,0.50455195
1237,1460480,0.41138402
1247,1473280,0.40844002
1258,1486080,0.44293603
1269,1498880,0.38851202
1279,1511680,0.45610398
1290,1524480,0.42440003
1301,1537280,0.42028
1312,1550080,0.40080002
1322,1562880,0.446272
1333,1575680,0.50136
1344,1588480,0.47524
1354,1601280,0.48468804
1365,1614080,0.490624
1376,1626880,0.435432
1386,1639680,0.389184
1397,1652480,0.37278402
1408,1665280,0.39163205
1419,1678080,0.38000003
1429,1690880,0.44181597
1440,1703680,0.469088
1451,1716480,0.46864796
1461,1729280,0.44692
1472,1742080,0.410592
1483,1754880,0.537528
1493,1767680,0.513712
1504,1780480,0.410232
1515,1793280,0.42496002
1526,1806080,0.461248
1536,1818880,0.399288
1547,1831680,0.443944
1557,1844480,0.415504
1568,1857280,0.489072
1579,1870080,0.440712
1607,1882880,0.39363202
1618,1895680,0.42478397
1628,1908480,0.43928796
1640,1921280,0.41324803
1650,1934080,0.39431998
1661,1946880,0.44772798
1672,1959680,0.443736
1682,1972480,0.419944
1693,1985280,0.38908002
1704,1998080,0.46951997
1715,2010880,0.521024
1725,2023680,0.52944803
1736,2036480,0.47627202
1747,2049280,0.438784
1757,2062080,0.489704
1768,2074880,0.37610397
1779,2087680,0.51916796
1790,2100480,0.46772802
1800,2113280,0.41706398
1811,2126080,0.453672
1822,2138880,0.45612797
1833,2151680,0.435664
1844,2164480,0.41856003
1854,2177280,0.50508803
1865,2190080,0.503144
1875,2202880,0.479328
1886,2215680,0.417904
1897,2228480,0.41489598
1907,2241280,0.40584
1918,2254080,0.41808805
1928,2266880,0.5566
1939,2279680,0.414856
1950,2292480,0.40952802
1960,2305280,0.43492803
1971,2318080,0.368216
1982,2330880,0.42735198
1992,2343680,0.46877602
2003,2356480,0.45004
2014,2369280,0.39806402
2025,2382080,0.33736798
2036,2394880,0.38439196
2046,2407680,0.45737603
2057,2420480,0.48966396
2068,2433280,0.34397602
2079,2446080,0.334296
2090,2458880,0.35639203
2100,2471680,0.544312
2111,2484480,0.51802397
2121,2497280,0.494448
2132,2510080,0.48571202
2143,2522880,0.58951205
2153,2535680,0.47631997
2164,2548480,0.47992802
2175,2561280,0.481984
2186,2574080,0.461104
2196,2586880,0.40163204
2207,2599680,0.491136
2217,2612480,0.49480003
2228,2625280,0.523104
2239,2638080,0.41562396
2250,2650880,0.3504
2261,2663680,0.47577596
2271,2676480,0.39980805
2282,2689280,0.44388
2293,2702080,0.44859195
2303,2714880,0.442168
2314,2727680,0.516176
2324,2740480,0.42685604
2335,2753280,0.341944
2346,2766080,0.427952
2357,2778880,0.437336
2367,2791680,0.42691997
2378,2804480,0.47539198
2389,2817280,0.53412
2399,2830080,0.511144
2410,2842880,0.48487198
2421,2855680,0.539352
2431,2868480,0.46956798
2442,2881280,0.512616
2453,2894080,0.524792
2463,2906880,0.47481596
2474,2919680,0.446216
2485,2932480,0.39122406
2496,2945280,0.508136
2506,2958080,0.43941602
2517,2970880,0.35239202
2528,2983680,0.56123203
2539,2996480,0.539816
2549,3009280,0.50237596
2560,3022080,0.43307197
2571,3034880,0.47479197
2581,3047680,0.51232004
2592,3060480,0.436392
2603,3073280,0.50332797
2613,3086080,0.52599204
2624,3098880,0.478096
2635,3111680,0.625264
2646,3124480,0.52836
2656,3137280,0.623656
2667,3150080,0.512264
2678,3162880,0.421104
2689,3175680,0.51521605
2700,3188480,0.576432
2710,3201280,0.536656
2721,3214080,0.471944
2732,3226880,0.414168
2743,3239680,0.437416
2753,3252480,0.47452003
2764,3265280,0.47586402
2775,3278080,0.55492
2786,3290880,0.571136
2796,3303680,0.51224
2807,3316480,0.525504
2818,3329280,0.47663197
2828,3342080,0.56067204
2839,3354880,0.55731195
2850,3367680,0.49117604
2861,3380480,0.55008
2872,3393280,0.512688
2882,3406080,0.43332002
2893,3418880,0.4748
2904,3431680,0.511368
2914,3444480,0.579712
2925,3457280,0.575256
2936,3470080,0.62274396
2946,3482880,0.553344
2957,3495680,0.51531994
2968,3508480,0.58762395
2978,3521280,0.516768
2989,3534080,0.523688
3000,3546880,0.523048
3010,3559680,0.628824
3021,3572480,0.563176
3032,3585280,0.54621595
3043,3598080,0.52835196
3054,3610880,0.49544802
3064,3623680,0.56318396
3075,3636480,0.597904
3086,3649280,0.53068
3096,3662080,0.55724
3107,3674880,0.56668794
3117,3687680,0.48999202
3128,3700480,0.517088
3139,3713280,0.439888
3150,3726080,0.46679202
3160,3738880,0.475832
3171,3751680,0.495024
3182,3764480,0.507984
3192,3777280,0.54201597
3203,3790080,0.54546404
3214,3802880,0.56724
3225,3815680,0.591208
3235,3828480,0.58251196
3246,3841280,0.520136
3257,3854080,0.500224
3267,3866880,0.487128
3278,3879680,0.50098395
3289,3892480,0.543856
3300,3905280,0.41796002
3310,3918080,0.555856
3321,3930880,0.546336
3332,3943680,0.54543203
3343,3956480,0.51571196
3353,3969280,0.59224004
3364,3982080,0.525112
3375,3994880,0.5752
3385,4007680,0.5836
3396,4020480,0.619848
3407,4033280,0.554496
3418,4046080,0.48028004
3429,4058880,0.586472
3439,4071680,0.51349604
3450,4084480,0.54452
3461,4097280,0.481736
3472,4110080,0.437904
3482,4122880,0.501712
3493,4135680,0.47173598
3504,4148480,0.48143205
3515,4161280,0.59460807
3525,4174080,0.47048795
3536,4186880,0.53384805
3547,4199680,0.554528
3557,4212480,0.487072
3568,4225280,0.516872
3579,4238080,0.542304
3590,4250880,0.52727205
3600,4263680,0.668104
3611,4276480,0.58337605
3622,4289280,0.554616
3632,4302080,0.652096
3643,4314880,0.648992
3654,4327680,0.549384
3665,4340480,0.596896
3676,4353280,0.588064
3686,4366080,0.65762407
3697,4378880,0.55914396
3707,4391680,0.540448
3718,4404480,0.627504
3729,4417280,0.60431993
3739,4430080,0.59508795
3750,4442880,0.51681596
3760,4455680,0.56552804
3771,4468480,0.588976
3782,4481280,0.59860796
3793,4494080,0.612944
3803,4506880,0.615456
3814,4519680,0.61038405
3825,4532480,0.556464
3836,4545280,0.58478403
3846,4558080,0.62803197
3857,4570880,0.606
3868,4583680,0.59779197
3878,4596480,0.562128
3889,4609280,0.59968805
3900,4622080,0.67452806
3911,4634880,0.617848
3922,4647680,0.57255197
3932,4660480,0.636192
3943,4673280,0.654352
3954,4686080,0.593368
3965,4698880,0.623128
3975,4711680,0.633936
3986,4724480,0.68289596
3997,4737280,0.62712
4008,4750080,0.65675193
4018,4762880,0.622528
4029,4775680,0.58952
4040,4788480,0.613024
4051,4801280,0.616248
4062,4814080,0.641176
4073,4826880,0.58067995
4083,4839680,0.6516241
4094,4852480,0.61071193
4105,4865280,0.53796
4115,4878080,0.64613605
4126,4890880,0.60816
4137,4903680,0.6855679
4147,4916480,0.61781603
4158,4929280,0.64252
4168,4942080,0.7082801
4179,4954880,0.66237605
4190,4967680,0.65452796
4200,4980480,0.672224
4211,4993280,0.72450393
