lr,max-grad-norm,num-steps,recurrent-policy,seed
0.00011320371822746735,0.5,40,True,170

seconds,frames,mean reward
634,640,0.9583334
654,7040,0.17833903
674,13440,0.14770833
695,19840,0.15779167
715,26240,0.19329166
736,32640,0.24247918
758,39040,0.32822913
779,45440,0.26097915
801,51840,0.29902083
823,58240,0.42635414
846,64640,0.6150625
868,71040,0.49016666
889,77440,0.44022918
911,83840,0.474
932,90240,0.61112505
954,96640,0.5573958
976,103040,0.5740625
998,109440,0.6123125
1020,115840,0.51906246
1041,122240,0.58252084
1064,128640,0.56166667
1085,135040,0.5992916
1107,141440,0.63502085
1128,147840,0.5823958
1150,154240,0.6238958
2264,160640,0.60197914
3721,167040,0.48349997
5586,173440,0.59800005
7588,179840,0.5111875
9441,186240,0.5026667
11294,192640,0.52175003
11316,199040,0.59218746
11337,205440,0.52685416
11359,211840,0.5424375
11381,218240,0.5171875
11402,224640,0.56145835
11424,231040,0.5253333
11446,237440,0.517625
11468,243840,0.53800005
11489,250240,0.29560417
11511,256640,0.18247917
11533,263040,0.35408333
11554,269440,0.3875625
11576,275840,0.3264375
11598,282240,0.39495832
11619,288640,0.28302085
11640,295040,0.17247915
11662,301440,0.14204167
11683,307840,0.1216875
11704,314240,0.084875
11726,320640,0.048687503
11747,327040,0.009979166
11768,333440,0.048312496
11789,339840,0.028249998
11811,346240,0.038229167
11832,352640,0.029937498
11853,359040,0.059874997
11875,365440,0.04989583
11896,371840,0.019958332
11917,378240,0.059874997
11939,384640,0.04989583
11960,391040,0.054541662
11982,397440,0.049791664
12003,403840,0.065270826
12024,410240,0.06691667
12045,416640,0.019958332
12066,423040,0.009979166
12088,429440,0.029937498
12109,435840,0.019958332
12130,442240,0.04989583
12152,448640,0.04989583
12173,455040,0.0375625
12195,461440,0.048354167
12216,467840,0.067354165
12237,474240,0.048249997
12259,480640,0.02925
12280,487040,0.0
12301,493440,0.019958332
12322,499840,0.019958332
12344,506240,0.038229164
12367,512640,0.06649999
12388,519040,0.039916664
12409,525440,0.029937498
12431,531840,0.039916664
12453,538240,0.029937498
12475,544640,0.038666666
12496,551040,0.056270834
12518,557440,0.1035625
12539,563840,0.049645834
12560,570240,0.03825
12583,576640,0.039583333
12604,583040,0.038979165
12626,589440,0.0468125
12647,595840,0.06585417
12668,602240,0.035604168
12689,608640,0.009979166
12711,615040,0.039916664
12732,621440,0.029937498
12753,627840,0.019625
12774,634240,0.039916664
12797,640640,0.039916664
12818,647040,0.059312496
12840,653440,0.039354164
12861,659840,0.047666665
12882,666240,0.038333334
12904,672640,0.0390625
12925,679040,0.029083334
12946,685440,0.028395833
12968,691840,0.038375
12989,698240,0.019958332
13012,704640,0.048979167
13033,711040,0.039916664
13055,717440,0.09731249
13076,723840,0.16185418
13097,730240,0.13666667
13119,736640,0.1975625
13141,743040,0.49260417
13162,749440,0.5261667
13184,755840,0.5770416
13206,762240,0.53183335
13229,768640,0.4418125
13250,775040,0.47404164
13272,781440,0.62147915
13294,787840,0.5906458
13316,794240,0.5783542
13337,800640,0.61354166
13359,807040,0.5685
13381,813440,0.509
13403,819840,0.4697084
13424,826240,0.39739582
13446,832640,0.3894792
13468,839040,0.5209167
13489,845440,0.41570836
13511,851840,0.42514583
13532,858240,0.465
13554,864640,0.50202084
13576,871040,0.50145835
13598,877440,0.579375
13619,883840,0.4965625
13641,890240,0.57637495
13664,896640,0.5985625
13686,903040,0.574875
13708,909440,0.51806253
13730,915840,0.55197924
13751,922240,0.57887506
13773,928640,0.5718334
13795,935040,0.51839584
13817,941440,0.4745625
13838,947840,0.6054583
13860,954240,0.62870836
13883,960640,0.578125
13905,967040,0.60997915
13927,973440,0.493375
13949,979840,0.43952084
13971,986240,0.4887292
13992,992640,0.5952917
14014,999040,0.4997917
14036,1005440,0.589375
14058,1011840,0.5725417
14080,1018240,0.6396459
14103,1024640,0.62008333
14125,1031040,0.5470625
14147,1037440,0.6517292
14168,1043840,0.67214584
14190,1050240,0.64337504
14212,1056640,0.5627084
14233,1063040,0.4927917
14255,1069440,0.55081254
14277,1075840,0.5895625
14298,1082240,0.52025
14321,1088640,0.578
14343,1095040,0.5354583
14365,1101440,0.61149997
14386,1107840,0.59831256
14408,1114240,0.56904167
14430,1120640,0.4946042
14452,1127040,0.53093743
14473,1133440,0.59341663
14496,1139840,0.58672917
14517,1146240,0.5226459
14541,1152640,0.5127917
14562,1159040,0.5479167
14584,1165440,0.57058334
14606,1171840,0.5568541
14628,1178240,0.54970837
14649,1184640,0.58368754
14671,1191040,0.49356252
14693,1197440,0.5680625
14715,1203840,0.6166666
14736,1210240,0.6239375
14759,1216640,0.5680416
14781,1223040,0.55116665
14803,1229440,0.5270208
14825,1235840,0.54162496
14846,1242240,0.60489583
14868,1248640,0.59685415
14890,1255040,0.5305208
14912,1261440,0.5815833
14933,1267840,0.6137083
14955,1274240,0.50454164
14978,1280640,0.5125625
15000,1287040,0.5929375
15022,1293440,0.5952917
15044,1299840,0.62250006
15066,1306240,0.6314167
15087,1312640,0.56624997
15109,1319040,0.655
15130,1325440,0.57431245
15152,1331840,0.5370417
15174,1338240,0.60933334
15402,1344640,0.62662506
15424,1351040,0.54033333
15446,1357440,0.4341875
15468,1363840,0.60747916
15490,1370240,0.5401875
15512,1376640,0.56914586
15534,1383040,0.6115209
15555,1389440,0.61127084
15577,1395840,0.6311667
15599,1402240,0.63447917
15622,1408640,0.5890834
15644,1415040,0.63925
15665,1421440,0.55966663
15687,1427840,0.6571251
15708,1434240,0.55485415
15730,1440640,0.58502084
15752,1447040,0.6232708
15773,1453440,0.6038334
15794,1459840,0.52670836
15816,1466240,0.6128333
15839,1472640,0.5582292
15860,1479040,0.31595835
15881,1485440,0.257125
15902,1491840,0.204875
15924,1498240,0.34858337
15945,1504640,0.33935416
15966,1511040,0.30400002
15987,1517440,0.5074792
16009,1523840,0.6288958
16031,1530240,0.61125
16054,1536640,0.514
16076,1543040,0.62458336
16098,1549440,0.552625
16119,1555840,0.606375
16141,1562240,0.5305625
16162,1568640,0.34279168
16184,1575040,0.50439584
16205,1581440,0.68833333
16227,1587840,0.5639167
16248,1594240,0.6065
16271,1600640,0.54225004
16292,1607040,0.42345834
16314,1613440,0.5459792
16336,1619840,0.59181243
16358,1626240,0.51897913
16379,1632640,0.55172914
16401,1639040,0.48970836
16422,1645440,0.47493747
16443,1651840,0.46083337
16465,1658240,0.54770833
16488,1664640,0.3162917
16510,1671040,0.5715208
16531,1677440,0.6034792
16553,1683840,0.47437504
16574,1690240,0.54233336
16596,1696640,0.51075006
16617,1703040,0.5594584
16639,1709440,0.49872917
16660,1715840,0.4449583
16682,1722240,0.33993748
16705,1728640,0.5858542
16726,1735040,0.51254165
16747,1741440,0.4919167
16769,1747840,0.5942291
16790,1754240,0.51327085
16812,1760640,0.5996875
16834,1767040,0.560625
16855,1773440,0.6315834
16877,1779840,0.5006667
16899,1786240,0.559625
16922,1792640,0.45510414
16943,1799040,0.5068542
16965,1805440,0.50606245
16987,1811840,0.56539583
17008,1818240,0.47858334
17030,1824640,0.5746666
17052,1831040,0.50685424
17073,1837440,0.5440417
17095,1843840,0.54139584
17116,1850240,0.44199997
17139,1856640,0.6322917
17161,1863040,0.54150003
17182,1869440,0.4917292
17203,1875840,0.51066667
