lr,max-grad-norm,num-steps,recurrent-policy,seed
5.418861887497961e-06,0.5,50,True,14

seconds,frames,mean reward
2637,8800,0.1830541
4764,16800,0.20566666
5613,24800,0.14795834
5637,32800,0.134125
5664,40800,0.17695834
5694,48800,0.20147918
5719,56800,0.104020834
5746,64800,0.16920833
5771,72800,0.133125
5798,80800,0.077729166
5823,88800,0.08022917
5849,96800,0.1583125
5875,104800,0.16577083
5901,112800,0.122875
5926,120800,0.14904167
5953,128800,0.15133332
5977,136800,0.16702084
6005,144800,0.19460417
6031,152800,0.083916664
6067,160800,0.20347916
6092,168800,0.13970833
6118,176800,0.18087502
6142,184800,0.127375
6172,192800,0.16372918
6197,200800,0.15589583
6226,208800,0.1120625
6251,216800,0.18162501
6277,224800,0.12539583
6303,232800,0.18304166
6338,240800,0.1160625
6364,248800,0.12283333
6391,256800,0.122458324
6416,264800,0.1503125
6440,272800,0.092229165
6469,280800,0.19783333
6495,288800,0.13935417
6521,296800,0.12643749
6547,304800,0.120770834
6577,312800,0.150625
6602,320800,0.12068749
6627,328800,0.15604167
6654,336800,0.14175
6680,344800,0.19356251
6704,352800,0.09341667
6730,360800,0.1303125
6758,368800,0.18797916
6783,376800,0.111916654
6809,384800,0.11214583
6833,392800,0.089875005
6860,400800,0.1806875
6885,408800,0.15160416
6911,416800,0.07645833
6936,424800,0.13560416
6962,432800,0.0911875
6990,440800,0.20252083
7014,448800,0.152875
7039,456800,0.16939583
7068,464800,0.14856249
7095,472800,0.20872918
7124,480800,0.19572917
7150,488800,0.17214584
7174,496800,0.16185418
7203,504800,0.16816665
7229,512800,0.15620832
7254,520800,0.13054167
7280,528800,0.15810417
7311,536800,0.158875
7338,544800,0.16877083
7366,552800,0.19314583
7391,560800,0.18597916
7415,568800,0.1360625
7440,576800,0.157625
7465,584800,0.22210416
7489,592800,0.17752083
7515,600800,0.2205625
7543,608800,0.18772916
7570,616800,0.18710417
7598,624800,0.22022915
7622,632800,0.20043749
7648,640800,0.24464582
7674,648800,0.23183332
7706,656800,0.17295833
7731,664800,0.27797917
7756,672800,0.20664582
7782,680800,0.24143751
7809,688800,0.23691666
7834,696800,0.267625
7859,704800,0.23697916
7884,712800,0.28904167
7910,720800,0.28960416
7936,728800,0.2766875
7961,736800,0.26645833
7988,744800,0.28710416
8012,752800,0.2550625
8037,760800,0.28910416
8067,768800,0.22839582
8092,776800,0.29185417
8117,784800,0.311625
8142,792800,0.2600625
8168,800800,0.2286875
8194,808800,0.26658332
8220,816800,0.2786458
8245,824800,0.29387498
8270,832800,0.33075002
8295,840800,0.28635415
8321,848800,0.2803125
8345,856800,0.28139582
8373,864800,0.27041665
8400,872800,0.3149375
8429,880800,0.40970832
8458,888800,0.44622916
8483,896800,0.28441665
8509,904800,0.30416667
8534,912800,0.29572916
8559,920800,0.30875
8589,928800,0.29872918
8613,936800,0.28383332
8639,944800,0.35741666
8665,952800,0.37814587
8694,960800,0.2501875
8720,968800,0.40627083
8748,976800,0.37041667
8780,984800,0.32904163
8806,992800,0.3228125
8832,1000800,0.3536667
8857,1008800,0.3517083
8882,1016800,0.39020836
8908,1024800,0.39518753
8935,1032800,0.36710414
8966,1040800,0.39493752
8991,1048800,0.30845836
9018,1056800,0.3705833
9043,1064800,0.321875
9070,1072800,0.39268753
9097,1080800,0.3139375
9122,1088800,0.39820832
9146,1096800,0.33891663
9173,1104800,0.3508333
9197,1112800,0.37877083
9224,1120800,0.4062917
9250,1128800,0.33412498
9276,1136800,0.37483338
9305,1144800,0.30679166
9330,1152800,0.3424375
9363,1160800,0.35129166
9388,1168800,0.43631253
9414,1176800,0.39697918
9440,1184800,0.44308332
9466,1192800,0.40641665
9499,1200800,0.45947915
9525,1208800,0.3541042
9550,1216800,0.41227084
9576,1224800,0.38668752
9604,1232800,0.43591672
9629,1240800,0.4889375
9653,1248800,0.44470832
9679,1256800,0.41774997
9704,1264800,0.39702085
9730,1272800,0.5128958
9758,1280800,0.42583328
9785,1288800,0.5252708
9811,1296800,0.4603958
9840,1304800,0.47195834
9867,1312800,0.50637496
9892,1320800,0.45010415
9919,1328800,0.44610417
9943,1336800,0.47162503
9969,1344800,0.50860417
9998,1352800,0.44587502
10024,1360800,0.48525003
10049,1368800,0.4755209
10074,1376800,0.41337502
10108,1384800,0.4321458
10135,1392800,0.48497912
10162,1400800,0.52012503
