seconds,updates,mean reward
36,10,0.019885713
55,20,0.02887347
74,30,0.028304
94,40,0.01876
113,50,0.018415999
133,60,0.01928
152,70,0.037416
171,80,0.046728
191,90,0.028088
210,100,0.037336003
229,110,0.047064
248,120,0.028432
267,130,0.047944
286,140,0.048056003
305,150,0.047248002
324,160,0.045952
343,170,0.075568
362,180,0.094464
382,190,0.072151996
401,200,0.072096
421,210,0.046423998
440,220,0.054832
459,230,0.08132
478,240,0.07008
497,250,0.082615994
516,260,0.101912
535,270,0.102896005
554,280,0.085783996
573,290,0.036399998
592,300,0.045135997
611,310,0.047247995
630,320,0.047752
648,330,0.038064
667,340,0.047736
687,350,0.06687199
707,360,0.029312
726,370,0.029663999
745,380,0.029016
764,390,0.036663998
783,400,0.027368
802,410,0.019384
821,420,0.027999999
840,430,0.0086159995
859,440,0.064664
878,450,0.084056
897,460,0.04768
916,470,0.073808
935,480,0.074384004
954,490,0.029384
973,500,0.0758
992,510,0.073624
1012,520,0.036936
1031,530,0.048184
1050,540,0.066264
1069,550,0.065992005
1088,560,0.046504002
1107,570,0.027448
1126,580,0.009648
1145,590,0.03848
1164,600,0.048152
1183,610,0.01932
1202,620,0.046623997
1221,630,0.092472
1240,640,0.053664003
1259,650,0.056016
1278,660,0.056896
1297,670,0.065735996
1316,680,0.074576
1336,690,0.045975998
1355,700,0.038392
1373,710,0.067592
1392,720,0.076752
1412,730,0.038135998
1431,740,0.056424
1449,750,0.066952
1468,760,0.046432
1487,770,0.035672
1506,780,0.00816
1525,790,0.01832
1544,800,0.045928
1563,810,0.066471994
1583,820,0.046616003
1602,830,0.025879998
1621,840,0.017776001
1641,850,0.018919999
1660,860,0.019112
1679,870,0.01876
1698,880,0.036568
1716,890,0.046336003
1735,900,0.056552
1754,910,0.057152
1773,920,0.046264
1792,930,0.053352002
1811,940,0.054279998
1830,950,0.027632
1849,960,0.009312
1868,970,0.017479999
1888,980,0.072968
1907,990,0.07424
1927,1000,0.01916
1946,1010,0.009856
1965,1020,0.019760001
1984,1030,0.039304
2003,1040,0.047312003
2022,1050,0.028536
2040,1060,0.066824
2059,1070,0.046448004
2078,1080,0.027023999
2097,1090,0.028432
2116,1100,0.067072004
2135,1110,0.084856
2154,1120,0.046376
2173,1130,0.056799997
2193,1140,0.09488
2213,1150,0.066167995
2232,1160,0.0292
2251,1170,0.0
2270,1180,0.038728
2289,1190,0.067880005
2308,1200,0.057144
2327,1210,0.037607998
2345,1220,0.027896002
2364,1230,0.0466
2383,1240,0.077064
2401,1250,0.086632006
2420,1260,0.086591996
2439,1270,0.09572001
2457,1280,0.07712
2476,1290,0.094552
2495,1300,0.06464
2514,1310,0.04528
2533,1320,0.07324
2552,1330,0.027944
2570,1340,0.06522401
2589,1350,0.0844
2608,1360,0.035952
2627,1370,0.054408
2645,1380,0.038056
2664,1390,0.03756
2683,1400,0.038
2701,1410,0.028008
2720,1420,0.027592001
2738,1430,0.047072
2757,1440,0.05788
2776,1450,0.038616
2795,1460,0.036856
2814,1470,0.036599997
2833,1480,0.065032
2852,1490,0.055944
2870,1500,0.027007999
2889,1510,0.056552
2908,1520,0.055256005
2926,1530,0.034944
2945,1540,0.028223999
2963,1550,0.046448004
2982,1560,0.056672
3000,1570,0.075559996
3019,1580,0.037592
3037,1590,0.056144
3055,1600,0.06612
3074,1610,0.038368
3093,1620,0.055856
3112,1630,0.047176
3130,1640,0.056567997
3149,1650,0.065784
3167,1660,0.037504002
3186,1670,0.019632
3204,1680,0.066496
3222,1690,0.085664004
3241,1700,0.07444
3259,1710,0.07304
3278,1720,0.055431996
3296,1730,0.067736
3315,1740,0.085880004
3333,1750,0.067591995
3352,1760,0.037616
3370,1770,0.027695999
3389,1780,0.046416
3408,1790,0.046423998
3427,1800,0.04836
3445,1810,0.029184
3464,1820,0.035704
3482,1830,0.08156
3500,1840,0.045856
3519,1850,0.018896
3537,1860,0.064104006
3555,1870,0.052679997
3574,1880,0.054744
3592,1890,0.066592
3611,1900,0.057168003
3629,1910,0.028376
3648,1920,0.057223998
3666,1930,0.047904
3685,1940,0.029264001
3704,1950,0.055024005
3722,1960,0.056152
3741,1970,0.066752
3759,1980,0.047112
3778,1990,0.046808
3796,2000,0.046423998
3815,2010,0.055648003
3833,2020,0.045503996
3852,2030,0.03632
3870,2040,0.056448
3889,2050,0.047728
